Title,Employer,Employment Type,Link,Email,Contact Text,Description
Scale A teacher,Whenuapai School,"Full time, Fixed term, Start Date: 28/01/2026, End Date: 18/12/2026(Staff member with extra responsibility)",https://gazette.education.govt.nz/vacancies/1HAqJX-scale-a-teacher/,recruitment@whenuapai.school.nz,N/A,N/A
Kaiako,Thames South School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJT-permanent-kaiako/,office@thamessouth.school.nz,N/A,N/A
"Teaching position (Term 2, 2026) Y5–8",Upper Atiamuri School,"Full time, Fixed term, Start Date: 28/04/2026, End Date: 03/07/2026(Sabbatical cover)",https://gazette.education.govt.nz/vacancies/1HAqJS-fixed-term-teaching-position-term-2-2026-year-58/,principal@upperatiamuri.school.nz,N/A,N/A
English teacher,Dunstan High School,"Full time, Fixed term, Start Date: 20/04/2026, End Date: 11/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqJR-english-position-full-time-fixed-term-maternity-leave/,office@dunstan.school.nz,N/A,N/A
Special education teacher,Volunteer Service Abroad,"Full time, Fixed term, Start Date: 30/03/2026, End Date: 30/03/2027(12 months volunteer assignment )",https://gazette.education.govt.nz/vacancies/1HAqJN-special-education-teacher/,fbuch@vsa.org.nz,N/A,N/A
Dance teacher,McAuley High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJM-dance-teacher/,office@mcauleyhigh.school.nz,N/A,N/A
Team leader position Y5–6 and Y7–8,Te Whai Hiringa,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJK-team-leader-position-year-5-and-6-and-year-7-and-8/,tumuaki@tewhaihiringa.school.nz,N/A,N/A
Mathematics teacher,Macleans College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJF-mathematics-teacher/,applications@macleans.school.nz,N/A,N/A
Teacher positions (2 positions),Mangorei School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJE-permanent-full-time-teacher-positions-2-positions/,donna.goble@mangorei.school.nz,N/A,N/A
Teacher of mathematics,Waitaki Boys' High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJD-teacher-of-mathematics/,rectorspa@waitakibhs.school.nz,N/A,N/A
Y7 - 13 digital technology teacher,Hamilton Christian School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJ4-year-7-13-digital-technology-teacher/,vacancies@hamiltonchristian.school.nz,N/A,N/A
Mathematics/DVC teacher,Buller High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJ2-mathematicsdvc-teacher-permanent-full-time/,office@buller.ac.nz,N/A,N/A
Digital technologies teacher,Tamatea High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJ1-digital-technologies-teacher/,enquiries@tamatea.school.nz,N/A,N/A
Teacher - mathematics and statistics,St Cuthbert's College (Epsom),"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqJ0-teacher-mathematics-and-statistics/,humanresources@stcuthberts.school.nz,N/A,N/A
Science teacher,Hutt Valley High School,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHz-science-teacher-full-time-permanent-start-term-1-2026/,office@hvhs.school.nz,N/A,N/A
Preschool kaiako,Farmyard Preschool,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqHy-preschool-kaiako/,headteacher@farmyardpreschool.co.nz,N/A,N/A
Specialist teacher Outreach Service,Kimi Ora School,"Part time, Fixed term, FTTE up to: 0.8, Start Date: 28/01/2026, End Date: 27/01/2027(Dependant on ORs funded students )",https://gazette.education.govt.nz/vacancies/1HAqHv-specialist-teacher-outreach-service/,anitae@kimiora.school.nz,N/A,N/A
