Title;Employer;Employment Type;Link;Email;Contact Text;Description;;
Learning support coordinator;Waitakere College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Student numbers);https://gazette.education.govt.nz/vacancies/1HAqmv-learning-support-coordinator-start-term-1-2026/;suzanneg@waitakerecollege.school.nz;N/A;N/A;;
Learning support coordinator;Waitakere College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmt-learning-support-coordinator-start-term-1-2026/;suzanneg@waitakerecollege.school.nz;N/A;N/A;;
Primary teacher 2026;Mercury Bay Area School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Project release);https://gazette.education.govt.nz/vacancies/1HAqms-primary-teacher-full-time-fixed-term-2026/;farrellyk@mbas.ac.nz;N/A;N/A;;
Physics teacher;Bream Bay College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmq-physics-teacher/;ndonaldson@breambaycollege.school.nz;N/A;N/A;;
0.4FTE Teacher;Canvastown School;Part time, Fixed term, FTTE up to: 0.4, Start Date: 09/02/2026, End Date: 18/12/2026(Special project );https://gazette.education.govt.nz/vacancies/1HAqmp-teaching-superstar/;principal@canvastown.school.nz;N/A;N/A;;
Outdoor education teacher;Taranaki Outdoor Pursuits and Education Centre;Full time, Fixed term, Start Date: 26/01/2026, End Date: 22/12/2028(Funding - special project);https://gazette.education.govt.nz/vacancies/1HAqmn-outdoor-education-teacher/;grover@topec.co.nz;N/A;N/A;;
Teacher of physical education and health;Hastings Girls' High School – Ngā Rau Huia o Ākina;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmj-teacher-of-physical-education-and-health/;principal@hastingsgirls.com;N/A;N/A;;
Y7-8 (middle school) teacher;William Colenso College;Full time, Fixed term, Start Date: 27/01/2026, End Date: 11/12/2026(Roll growth – temporary appointment );https://gazette.education.govt.nz/vacancies/1HAqmi-year-78-middle-school-teacher/;keleigh.atkins@colenso.school.nz;N/A;N/A;;
Health and food & nutrition / food technology teacher;New Plymouth Girls' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmf-health-and-food-and-nutritiongood-technology-teacher/;recruitment@npghs.school.nz;N/A;N/A;;
Social science teacher;Te Puna Wai o Waipapa - Hagley College;Full time, Fixed term, Start Date: 28/01/2026, End Date: 27/01/2027(Covering secondment );https://gazette.education.govt.nz/vacancies/1HAqme-social-science-teacher-full-time-fixed-term/;sherron.harrison@staff.hagley.school.nz;N/A;N/A;;
Scale A; Y7-8 teacher;Rosehill Intermediate;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmd-scale-a-permanent-year-78-teacher/;mjohnson@rosehill.org.nz;N/A;N/A;
English & social sciences teacher;Green Bay High School;Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027(Roll growth – temporary appointment );https://gazette.education.govt.nz/vacancies/1HAqmc-english-and-social-sciences-teacher/;recruitment@greenbayhigh.school.nz;N/A;N/A;;
English teacher;Spotswood College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmb-english-teacher/;jbs@spotswoodcollege.school.nz;N/A;N/A;;
Specialist Science Teacher - Timaru Campus;OneSchool Global - New Zealand;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqma-specialist-science-teacher-timaru-campus/;recruitment@nz.oneschoolglobal.com;N/A;N/A;;
Specialist science teacher - Wellington Campus;OneSchool Global - New Zealand;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmY-specialist-science-teacher-wellington-campus/;recruitment@nz.oneschoolglobal.com;N/A;N/A;;
Specialist commerce teacher - Gore Campus;OneSchool Global - New Zealand;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmV-specialist-commerce-teacher-gore-campus/;recruitment@nz.oneschoolglobal.com;N/A;N/A;;
Chemistry teacher;Spotswood College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmU-chemistry-teacher/;jbs@spotswoodcollege.school.nz;N/A;N/A;;
Health & physical education (HPE) Y11–13;New Zealand Performance Academy Aotearoa (Proposed opening date: 2026-01-01);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmT-health-and-physical-education-hpe-years-1113/;enquiries@nzpaa.school.nz;N/A;N/A;;
Junior classroom Kaiako; Māori medium;Koraunui School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 16/12/2026(Extended leave);https://gazette.education.govt.nz/vacancies/1HAqmR-junior-classroom-kaiako-maori-medium/;principal@koraunui.school.nz;N/A;N/A;
Junior specialist teacher - Y9 and 10;Te Puna Wai o Waipapa - Hagley College;Part time, Fixed term, FTTE up to: 0.7, Start Date: 28/01/2026, End Date: 27/01/2027(Secondment cover);https://gazette.education.govt.nz/vacancies/1HAqmN-junior-specialist-teacher-years-9-and-10/;sherron.harrison@staff.hagley.school.nz;N/A;N/A;;
Science teacher;Hillmorton High School;Full time, Fixed term, Start Date: 28/01/2026, End Date: 11/12/2026(Project);https://gazette.education.govt.nz/vacancies/1HAqmL-science-teacher/;admin@hillmorton.school.nz;N/A;N/A;;
Scale A teacher;Macraes Moonlight School;Part time, Fixed term, FTTE up to: 0.2, Start Date: 02/02/2026, End Date: 17/12/2026(Extra support for senior staff);https://gazette.education.govt.nz/vacancies/1HAqmJ-scale-a-teacher-part-time/;principal@macraesmoonlight.school.nz;N/A;N/A;;
Mathematics teacher;Ruawai College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmF-mathematics-teacher/;cmarychurch@ruawaicollege.school.nz;N/A;N/A;;
Food technology teacher;Wairarapa College;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmG-food-technology-teacher/;jinnes@waicol.nz;N/A;N/A;;
Employment-based trainee teacher of physical education and health;Rosehill College;Full time, Fixed term, Start Date: 27/01/2026, End Date: 27/01/2027(Is an EBTT position);https://gazette.education.govt.nz/vacancies/1HAqmE-employment-based-trainee-teacher-of-physical-education-and-health/;j.herst@rosehillcollege.school.nz;N/A;N/A;;
Statistics teacher;New Plymouth Boys' High School;Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqmD-statistics-teacher/;human.resources@npbhs.school.nz;N/A;N/A;;
Scale A teacher;Mission Heights Primary School;Full time, Fixed term, Start Date: 26/01/2026, End Date: 18/12/2026(Special project cover);https://gazette.education.govt.nz/vacancies/1HAqmC-scale-a-teacher-suitable-for-beginning-teachers/;jobs@mhp.school.nz;N/A;N/A;;
ITM forte brass teacher;Te Puna Wai o Waipapa - Hagley College;Part time, Fixed term, FTTE up to: 0.6, Start Date: 28/01/2026, End Date: 10/12/2026(Fluctuation in itinerant music hours);https://gazette.education.govt.nz/vacancies/1HAqmA-itm-forte-brass-teacher-part-time-fixed-term/;sherron.harrison@staff.hagley.school.nz;N/A;N/A;;
Religious studies teacher-Tagged (CL47) position;St Patrick's College (Silverstream);Full time, Permanent;https://gazette.education.govt.nz/vacancies/1HAqm8-religious-studies-teacher-tagged-cl47-position/;ferreirar@stream.school.nz;N/A;N/A;;
Teacher Y5–6;Pt England School;Full time, Fixed term, Start Date: 19/01/2026, End Date: 18/12/2026(School roll );https://gazette.education.govt.nz/vacancies/1HAqm6-teacher-y56/;pa@ptengland.school.nz;N/A;N/A;;
