Title,Employer,Employment Type,Link,Email,Contact Text,Description
Scale A teacher,Northcross Intermediate,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpj-scale-a-teacher/,office@northcross.school.nz,N/A,"Pukekohe Hill School Auckland Y5–6 Māori enrichment classroom teacher Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 1:22 pm 01 December 2025 Closes 3pm 19 December 2025 Reference #: 1HAqpH Full details"
English teacher,Lynfield College,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027(Increase in student numbers)",https://gazette.education.govt.nz/vacancies/1HAqpi-english-teacher/,jobs@lynfield.school.nz,N/A,"Diocesan School For Girls Auckland Director of learning technologies Full time, Fixed term, Start Date: 19/01/2026, End Date: 26/01/2027 (For teacher coverage on a subject area whereby we will assess role numbers in 2027/2028 and reassess feasibility to create a permanent role) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Full details Listed today 10:14 am 01 December 2025 Closes 5pm 12 December 2025 Reference #: 1HAqoG Full details"
Kaiako Matangi Āwhio,Auckland Point Kindergarten,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqph-kaiako-matangi-awhio-full-time-permanent/,amy.katipa@ntk.org.nz,N/A,"Victory Square Kindergarten Tasman/Nelson Kaiako Full time, Permanent Early learning / kōhanga reo, Kaiako Belonging / Mana Whenua, Contribution / Mana Tangata, Communication / Mana Reo, Exploration / Mana Aotūroa, Well-being / Mana Atua Full details Listed today 2:58 pm 01 December 2025 Closes 5pm 11 January 2026 Reference #: 1HAqpe Full details"
Kaiako,Victory Square Kindergarten,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpe-full-time-permanent-kaiako/,amy.katipa@ntk.org.nz,N/A,"Auckland Point Kindergarten Tasman/Nelson Kaiako Matangi Āwhio Full time, Permanent Early learning / kōhanga reo, Kaiako Belonging / Mana Whenua, Contribution / Mana Tangata, Communication / Mana Reo, Exploration / Mana Aotūroa, Well-being / Mana Atua Full details Listed today 4:16 pm 01 December 2025 Closes 5pm 11 January 2026 Reference #: 1HAqph Full details"
Classroom teacher Y5 and 6,Awapuni School (Gisborne),"Full time, Fixed term, Start Date: 27/01/2026, End Date: 18/12/2026(Maternity leave)",https://gazette.education.govt.nz/vacancies/1HAqpd-classroom-teacher-year-5-and-6/,kahu@awapuni.school.nz,N/A,"Goldfields School (Paeroa) Waikato Teacher – specialist school Full time, Fixed term, Start Date: 28/01/2026, End Date: 31/12/2026 (Fluctuating roll) Certificated teacher, Area / composite (Years 1–15), Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 1:58 pm 01 December 2025 Closes 12pm 16 January 2026 Reference #: 1HAqpW Full details"
Special education teacher,Spotswood College,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpc-special-education-teacher/,jbs@spotswoodcollege.school.nz,N/A,"New Plymouth Girls' High School Taranaki Health and food & nutrition / food technology teacher Full time, Permanent Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed 12:59 pm 27 November 2025 Closes Midday 11 December 2025 Reference #: 1HAqmf Full details"
Kaiako matua / head teacher,Peterhead Kindergarten,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpa-kaiako-matua-head-teacher/,careers@hfka.co.nz,N/A,"Te Tipu Whenua Early Childhood Centre Hawke's Bay Group leader Full time, Permanent Early learning / kōhanga reo, Centre manager Belonging / Mana Whenua, Contribution / Mana Tangata, Communication / Mana Reo, Exploration / Mana Aotūroa, Well-being / Mana Atua Full details Listed 10:58 am 27 November 2025 Closes 19 December 2025 Reference #: 1HAqmH Full details"
Year level dean,Māngere College,"Full time, Fixed term, Start Date: 27/01/2026, End Date: 12/12/2026(Leadership restructure)",https://gazette.education.govt.nz/vacancies/1HAqp_-year-level-dean/,principal@mangerecollege.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
Special education advisor,Ministry of Education,"Full time, Permanent",https://gazette.education.govt.nz/vacancies/1HAqpY-special-education-advisor/,allison.rangi@education.govt.nz,N/A,"Rawene School Northland Classroom teacher Y2–4 Full time, Permanent Primary and intermediate (Years 1–8) / kura tuatahi, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts MITA Full details Listed today 11:59 am 01 December 2025 Closes 3pm 10 December 2025 Reference #: 1HAqoi Full details"
English teacher,Onslow College,"Full time, Fixed term, Start Date: 26/01/2026, End Date: 27/01/2027(Roll decline)",https://gazette.education.govt.nz/vacancies/1HAqpZ-english-teacher/,vacancy@onslow.school.nz,N/A,"Lynfield College Auckland English teacher Full time, Fixed term, Start Date: 27/01/2026, End Date: 28/01/2027 (Increase in student numbers) Secondary (Years 7–15) / wharekura, Certificated teacher English, Health and physical education, Learning languages, Mathematics and statistics, Science, Social sciences, Technology, Te reo Māori, The arts Suitable for beginning teachers Full details Listed today 4:16 pm 01 December 2025 Closes 12.00 noon 08 December 2025 Reference #: 1HAqpi Full details"
